Training model 1/3
Epoch:2/80 Batch:87/106 Train Loss:1.5550
Epoch:2/80 Batch:88/106 Train Loss:1.6062
Epoch:2/80 Batch:89/106 Train Loss:1.8290
Epoch:2/80 Batch:90/106 Train Loss:1.5163
Epoch:2/80 Batch:91/106 Train Loss:1.6988
Epoch:2/80 Batch:92/106 Train Loss:1.7082
Epoch:2/80 Batch:93/106 Train Loss:1.5791
Epoch:2/80 Batch:94/106 Train Loss:1.6406
Epoch:2/80 Batch:95/106 Train Loss:1.6557
Epoch:2/80 Batch:96/106 Train Loss:1.8008
Epoch:2/80 Batch:97/106 Train Loss:1.6129
Epoch:2/80 Batch:98/106 Train Loss:1.6224
Epoch:2/80 Batch:99/106 Train Loss:1.8048
Epoch:2/80 Batch:100/106 Train Loss:1.7730
Epoch:2/80 Batch:101/106 Train Loss:1.7458
Epoch:2/80 Batch:102/106 Train Loss:1.8028
Epoch:2/80 Batch:103/106 Train Loss:1.8410
Epoch:2/80 Batch:104/106 Train Loss:1.7408
Epoch:2/80 Batch:105/106 Train Loss:1.9171
Epoch:2/80 Batch:106/106 Train Loss:2.0510
Epoch:3/80 Batch:1/106 Train Loss:1.7468
Epoch:3/80 Batch:2/106 Train Loss:1.8129
Epoch:3/80 Batch:3/106 Train Loss:1.7146
Epoch:3/80 Batch:4/106 Train Loss:1.7300
Epoch:3/80 Batch:5/106 Train Loss:1.7259
Epoch:3/80 Batch:6/106 Train Loss:1.7058
Epoch:3/80 Batch:7/106 Train Loss:1.6661
Epoch:3/80 Batch:8/106 Train Loss:2.0006
Epoch:3/80 Batch:9/106 Train Loss:1.7166
Epoch:3/80 Batch:10/106 Train Loss:1.7050
Epoch:3/80 Batch:11/106 Train Loss:1.5570
Epoch:3/80 Batch:12/106 Train Loss:1.7667
Epoch:3/80 Batch:13/106 Train Loss:1.8201
Epoch:3/80 Batch:14/106 Train Loss:1.5866
Epoch:3/80 Batch:15/106 Train Loss:1.7161
Epoch:3/80 Batch:16/106 Train Loss:1.7429
Epoch:3/80 Batch:17/106 Train Loss:1.7034
Epoch:3/80 Batch:18/106 Train Loss:1.7809
Epoch:3/80 Batch:19/106 Train Loss:1.6852
Epoch:3/80 Batch:20/106 Train Loss:1.8124
Epoch:3/80 Batch:21/106 Train Loss:1.7365
Epoch:3/80 Batch:22/106 Train Loss:1.8238
Epoch:3/80 Batch:23/106 Train Loss:1.7514
Epoch:3/80 Batch:24/106 Train Loss:1.8158
Epoch:3/80 Batch:25/106 Train Loss:1.6941
Epoch:3/80 Batch:26/106 Train Loss:1.8542
Epoch:3/80 Batch:27/106 Train Loss:1.7256
Epoch:3/80 Batch:28/106 Train Loss:1.6501
Epoch:3/80 Batch:29/106 Train Loss:1.7848
Epoch:3/80 Batch:30/106 Train Loss:1.6088
Epoch:3/80 Batch:31/106 Train Loss:1.7009
Epoch:3/80 Batch:32/106 Train Loss:1.8171
Epoch:3/80 Batch:33/106 Train Loss:1.6461
Epoch:3/80 Batch:34/106 Train Loss:1.7580
Epoch:3/80 Batch:35/106 Train Loss:1.7395
Epoch:3/80 Batch:36/106 Train Loss:1.6549
Epoch:3/80 Batch:37/106 Train Loss:1.7604
Epoch:3/80 Batch:38/106 Train Loss:1.6393
Epoch:3/80 Batch:39/106 Train Loss:1.7578
Epoch:3/80 Batch:40/106 Train Loss:1.7288
Epoch:3/80 Batch:41/106 Train Loss:1.7818
Epoch:3/80 Batch:42/106 Train Loss:1.5081
Epoch:3/80 Batch:43/106 Train Loss:1.6893
Epoch:3/80 Batch:44/106 Train Loss:1.6969
Epoch:3/80 Batch:45/106 Train Loss:1.6300
Epoch:3/80 Batch:46/106 Train Loss:1.8199
Epoch:3/80 Batch:47/106 Train Loss:1.7577
Epoch:3/80 Batch:48/106 Train Loss:1.6735
Epoch:3/80 Batch:49/106 Train Loss:1.8034
Epoch:3/80 Batch:50/106 Train Loss:1.7466
Epoch:3/80 Batch:51/106 Train Loss:1.7189
Epoch:3/80 Batch:52/106 Train Loss:1.8319
Epoch:3/80 Batch:53/106 Train Loss:1.7600
Epoch:3/80 Batch:54/106 Train Loss:1.6561
Epoch:3/80 Batch:55/106 Train Loss:1.9991
Epoch:3/80 Batch:56/106 Train Loss:1.4785
Epoch:3/80 Batch:57/106 Train Loss:1.7490
Epoch:3/80 Batch:58/106 Train Loss:1.7356
Epoch:3/80 Batch:59/106 Train Loss:1.7030
Epoch:3/80 Batch:60/106 Train Loss:1.6071
Epoch:3/80 Batch:61/106 Train Loss:1.6568
Epoch:3/80 Batch:62/106 Train Loss:1.5871
Epoch:3/80 Batch:63/106 Train Loss:1.5446
Epoch:3/80 Batch:64/106 Train Loss:1.6865
Epoch:3/80 Batch:65/106 Train Loss:1.7653
Epoch:3/80 Batch:66/106 Train Loss:1.7926
Epoch:3/80 Batch:67/106 Train Loss:1.7568
Epoch:3/80 Batch:68/106 Train Loss:1.7556
Epoch:3/80 Batch:69/106 Train Loss:1.6569
Epoch:3/80 Batch:70/106 Train Loss:1.8260
Epoch:3/80 Batch:71/106 Train Loss:1.7680
Epoch:3/80 Batch:72/106 Train Loss:1.7975
Epoch:3/80 Batch:73/106 Train Loss:1.8213
Epoch:3/80 Batch:74/106 Train Loss:1.4994
Epoch:3/80 Batch:75/106 Train Loss:1.8328
Epoch:3/80 Batch:76/106 Train Loss:1.5803
Epoch:3/80 Batch:77/106 Train Loss:1.7498
Epoch:3/80 Batch:78/106 Train Loss:1.9018
Epoch:3/80 Batch:79/106 Train Loss:1.5181
Epoch:3/80 Batch:80/106 Train Loss:1.6479
Epoch:3/80 Batch:81/106 Train Loss:1.6840
Epoch:3/80 Batch:82/106 Train Loss:1.9570
Epoch:3/80 Batch:83/106 Train Loss:1.6442
Epoch:3/80 Batch:84/106 Train Loss:1.5131
Epoch:3/80 Batch:85/106 Train Loss:1.7731
Epoch:3/80 Batch:86/106 Train Loss:1.7286
Epoch:3/80 Batch:87/106 Train Loss:1.6358
Epoch:3/80 Batch:88/106 Train Loss:1.7913
Epoch:3/80 Batch:89/106 Train Loss:1.6635
Epoch:3/80 Batch:90/106 Train Loss:1.5257
Epoch:3/80 Batch:91/106 Train Loss:1.4724
Epoch:3/80 Batch:92/106 Train Loss:1.5662
Epoch:3/80 Batch:93/106 Train Loss:1.6298
Epoch:3/80 Batch:94/106 Train Loss:1.9151
Epoch:3/80 Batch:95/106 Train Loss:1.8387
Epoch:3/80 Batch:96/106 Train Loss:1.5279
Epoch:3/80 Batch:97/106 Train Loss:1.9094
Epoch:3/80 Batch:98/106 Train Loss:1.6274
Epoch:3/80 Batch:99/106 Train Loss:1.5029
Epoch:3/80 Batch:100/106 Train Loss:1.8378
Epoch:3/80 Batch:101/106 Train Loss:1.7526
Epoch:3/80 Batch:102/106 Train Loss:1.6761
Epoch:3/80 Batch:103/106 Train Loss:1.6361
Epoch:3/80 Batch:104/106 Train Loss:1.5553
Epoch:3/80 Batch:105/106 Train Loss:1.8166
Epoch:3/80 Batch:106/106 Train Loss:2.0899
Epoch:4/80 Batch:1/106 Train Loss:1.6142
Epoch:4/80 Batch:2/106 Train Loss:1.7708
Epoch:4/80 Batch:3/106 Train Loss:1.7580
Epoch:4/80 Batch:4/106 Train Loss:1.6383
Epoch:4/80 Batch:5/106 Train Loss:1.7352
Epoch:4/80 Batch:6/106 Train Loss:1.6545
Epoch:4/80 Batch:7/106 Train Loss:1.7067
Epoch:4/80 Batch:8/106 Train Loss:1.9090
Epoch:4/80 Batch:9/106 Train Loss:1.5098
Epoch:4/80 Batch:10/106 Train Loss:1.6711
Epoch:4/80 Batch:11/106 Train Loss:1.7007
